,0,1,2,3,4
0,"(0.5666666666666667, 0.1606314699422329)","(0.7444444444444445, 0.05091750772173158)","(0.4888888888888888, 0.16629588385661961)","(0.9, 0.11600340565456167)","(0.8666666666666668, 0.09686442096757052)"
1,"(0.6000000000000001, 0.15869840952317443)","(0.788888888888889, 0.14444444444444443)","(0.5222222222222224, 0.14098419489388356)","(0.9111111111111111, 0.08314794192830981)","(0.7888888888888889, 0.11600340565456167)"
2,"(0.6000000000000001, 0.15869840952317443)","(0.788888888888889, 0.14444444444444443)","(0.5222222222222224, 0.14098419489388356)","(0.9111111111111111, 0.08314794192830981)","(0.7888888888888889, 0.11600340565456167)"
3,"(0.6222222222222222, 0.15869840952317443)","(0.6, 0.13333333333333336)","(0.5, 0.12422599874998831)","(0.6777777777777778, 0.14444444444444443)","(0.6444444444444445, 0.15555555555555556)"
4,"(0.6555555555555556, 0.18888888888888888)","(0.6888888888888889, 0.20367003088692617)","(0.5555555555555556, 0.14907119849998599)","(0.8777777777777777, 0.09229582069908972)","(0.8, 0.10886621079036347)"
5,"(0.6222222222222222, 0.16629588385661961)","(0.8111111111111111, 0.1319371343004213)","(0.5, 0.1590869007030706)","(0.9222222222222222, 0.08678055195451838)","(0.8333333333333333, 0.10243938285880987)"
6,"(0.4333333333333334, 0.15275252316519466)","(0.5333333333333334, 0.13877773329774215)","(0.4666666666666666, 0.12957670877434002)","(0.7777777777777778, 0.17213259316477408)","(0.7777777777777779, 0.13146843962443588)"
7,"(0.6000000000000001, 0.15869840952317443)","(0.788888888888889, 0.14444444444444443)","(0.5222222222222224, 0.14098419489388356)","(0.9111111111111111, 0.08314794192830981)","(0.7888888888888889, 0.11600340565456167)"
8,"(0.6222222222222222, 0.16629588385661961)","(0.8111111111111111, 0.1319371343004213)","(0.5, 0.1590869007030706)","(0.9222222222222222, 0.08678055195451838)","(0.8333333333333333, 0.10243938285880987)"
9,"(0.4333333333333334, 0.15275252316519466)","(0.5333333333333334, 0.13877773329774215)","(0.4666666666666666, 0.12957670877434002)","(0.7777777777777778, 0.17213259316477408)","(0.7777777777777779, 0.13146843962443588)"
10,"(0.6000000000000001, 0.15869840952317443)","(0.788888888888889, 0.14444444444444443)","(0.5222222222222224, 0.14098419489388356)","(0.9111111111111111, 0.08314794192830981)","(0.7888888888888889, 0.11600340565456167)"
11,"(0.611111111111111, 0.15112745009706047)","(0.5666666666666667, 0.11600340565456167)","(0.4333333333333333, 0.20153730163574504)","(0.6888888888888889, 0.16329931618554522)","(0.6222222222222223, 0.12372809695177826)"
12,"(0.5555555555555556, 0.15713484026367724)","(0.5111111111111111, 0.16629588385661961)","(0.47777777777777775, 0.111665284679121)","(0.5777777777777777, 0.23726840560069581)","(0.6777777777777778, 0.15275252316519464)"
13,"(0.6222222222222222, 0.15869840952317443)","(0.6, 0.13333333333333336)","(0.5, 0.12422599874998831)","(0.6777777777777778, 0.14444444444444443)","(0.6444444444444445, 0.15555555555555556)"
14,"(0.6666666666666666, 0.17916128329552333)","(0.7, 0.19277057303219414)","(0.5555555555555556, 0.1314684396244359)","(0.8444444444444444, 0.10183501544346311)","(0.8222222222222222, 0.13333333333333336)"
15,"(0.47777777777777775, 0.14098419489388359)","(0.6, 0.18724777273725243)","(0.5, 0.1511274500970605)","(0.7777777777777777, 0.14054567378526128)","(0.7444444444444445, 0.14098419489388356)"
16,"(0.6555555555555556, 0.18888888888888888)","(0.6888888888888889, 0.20367003088692617)","(0.5555555555555556, 0.14907119849998599)","(0.8777777777777777, 0.09229582069908972)","(0.8, 0.10886621079036347)"
